,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,FB.rbs_crank.x,FB.rbs_crank.y,FB.rbs_crank.z,FB.rbs_crank.e0,FB.rbs_crank.e1,FB.rbs_crank.e2,FB.rbs_crank.e3,FB.rbs_rocker.x,FB.rbs_rocker.y,FB.rbs_rocker.z,FB.rbs_rocker.e0,FB.rbs_rocker.e1,FB.rbs_rocker.e2,FB.rbs_rocker.e3,FB.rbs_coupler.x,FB.rbs_coupler.y,FB.rbs_coupler.z,FB.rbs_coupler.e0,FB.rbs_coupler.e1,FB.rbs_coupler.e2,FB.rbs_coupler.e3
113,-7.854414079568195e-22,5.246915430641929e-22,9.913367066020334e-22,1.0,5.184319275998013e-26,4.974013757284941e-24,-1.3819704185957142e-24,-8.218497338607957e-22,97.73753555708238,21.151246720596763,0.7783034504408781,-0.6278883609067831,4.350223110699851e-24,5.6822754067881276e-24,-239.98587208256043,-850.0,332.6341520377641,0.8910433573903943,-3.7684315552809404e-24,0.4539182042098119,8.805077240983847e-25,-39.98587208256044,-327.26246444291763,353.7853987583609,0.8874329361681954,0.11274963129441076,0.44243635281686267,0.06324855705770539
114,-3.328815745799507e-22,-2.6186295004335988e-21,-1.1824665459587219e-21,1.0,-2.165892371289449e-24,-1.798245973578292e-24,1.941470359532626e-24,-7.1583318167296785e-22,95.16251664786918,30.72617149151104,0.8084744350872235,-0.5885313902201734,-2.489707990493667e-24,-1.6669778301223016e-25,-262.9333222261059,-850.0,342.72836157945466,0.9059437795634513,-9.19129145336347e-24,0.4233980194818474,-3.1967856739256498e-24,-62.9333222261059,-329.8374833521308,373.45453307096574,0.9026284174850744,0.10770450570575693,0.4117725143509849,0.06407100615379491
115,-3.1302189643391775e-24,8.233396945594391e-22,-4.200989757383628e-22,1.0,3.2489205930653238e-25,4.141466333045317e-24,-3.697732012393213e-25,3.5497851477620595e-22,91.65194320464882,39.99902316514678,0.8366571158542732,-0.5477270285992107,3.6083193839141245e-24,2.242692641068728e-24,-288.08718991519106,-850.0,351.74639263095764,0.9206755332691225,-6.060016398995898e-25,0.39032879602754483,-6.732838365924923e-24,-88.08718991519106,-333.34805679535117,391.7454157961044,0.9177925442212665,0.1015846053828921,0.3784890435668668,0.06390199869247665
116,1.213093810013156e-22,8.080205025072255e-22,-5.432917634212494e-23,1.0,-1.0350668915385412e-23,-4.454577280346709e-24,-1.5289737383350274e-24,8.013675145784775e-22,87.2403483226462,48.878647401981226,0.8627822730518437,-0.505575688371871,-1.5544249427987382e-24,-9.37826367314214e-24,-314.894330560976,-850.0,359.17548273784524,0.9347295952478627,-4.771858619413801e-25,0.35535980705098663,-3.9508374467660824e-24,-114.89433056097603,-337.7596516773538,408.05413013982644,0.9323575208328491,0.09457449934639336,0.34327031172591477,0.06269466334724143
117,6.485099832774835e-22,2.0665598979153643e-22,6.46752429634311e-23,1.0,3.327089153626207e-25,-4.549922065349039e-24,-1.524569917430566e-24,6.345185668668969e-23,81.97109340926333,57.277745407285366,0.8867856188942896,-0.4621810032929449,-3.996341466520659e-24,-1.338450901641293e-24,-342.7439149523676,-850.0,364.6529062815706,0.9477009947796218,2.271394137400603e-24,0.3191595672876543,3.9649436920972004e-25,-142.7439149523676,-343.02890659073665,421.93065168885596,0.945861862091522,0.08685552350141315,0.3068357811238192,0.060442246180904775
118,-7.085828675904449e-22,-8.050996957018382e-22,-4.1203875443356446e-23,1.0,-1.6555320121836934e-24,3.556509339626627e-24,-1.45409290545453e-24,-4.476694236792042e-22,75.89598276691821,65.11374719282742,0.9086081348993823,-0.4176496987632794,2.8004931626504994e-24,2.9689598460846673e-24,-371.0243274734948,-850.0,367.98153722854596,0.9593064344329425,1.1592261099003984e-24,0.28236708337012484,-1.500781129621302e-24,-171.02432747349476,-349.1040172330818,433.09528442137344,0.9579740710079133,0.07859434682186135,0.2698881803019873,0.05717502905784282
119,2.6946252774773833e-22,9.259279759648881e-22,-1.744305411997516e-22,1.0,-4.425758102201425e-24,-3.777282757043634e-24,-2.8057954804764516e-25,-3.2816631280036395e-22,69.07473954823848,72.3096164420114,0.928196147940323,-0.3720912853469401,-3.6522474719787745e-24,-1.080000420775523e-24,-399.170685128253,-850.0,369.1196465345787,0.9693822030185247,-2.2254369135449192e-24,0.24555681410127111,-1.4773489029003976e-24,-199.17068512825304,-355.9252604517615,441.4292629765901,0.9684942360979857,0.06993645813548417,0.2330743004729465,0.052954531026998174
120,-4.706041313055691e-22,-5.148098879789946e-22,-5.90287418800795e-22,1.0,-2.9522308147351385e-24,7.152497764545616e-24,8.067050377693236e-25,4.834820432288986e-22,61.574424163157,78.79461172105039,0.9455014924830332,-0.3256178052212978,6.271512967948627e-24,3.560293764984522e-24,-426.6970637179207,-850.0,368.15386567833815,0.9778688557849784,-9.343031815901812e-25,0.2092188048842471,5.874626767414614e-25,-226.69706371792066,-363.425575836843,446.94847739938854,0.9773401846063907,0.06100404216494947,0.19696058772709993,0.04786654798982149
121,8.84340039311467e-22,-5.795480567498095e-22,-1.6677094517364483e-22,1.0,-5.938125447074186e-25,5.8221010374207114e-24,9.080681428158552e-26,1.5688726734090677e-21,53.46877034260839,84.50497704486553,0.9604815973806726,-0.27834354394932315,4.578499625745148e-24,3.5025010906372115e-24,-453.2123790191183,-850.0,365.26489595637776,0.984789379546874,1.4984483696242388e-24,0.17375236237882136,-3.881537028974048e-25,-253.2123790191183,-371.53122965739163,449.7698730012433,0.9845253881710727,0.051897116279473514,0.1620224007644313,0.04201425879246298
122,-7.841808097456159e-22,-2.0200203427813405e-24,-2.595428018080374e-21,1.0,-2.0553061440073544e-24,9.921422250260649e-24,1.7317687373754292e-24,1.0864508254434496e-21,44.83746685267863,89.38457730974869,0.973099642335737,-0.23038476689322085,1.019243404611173e-23,2.4528291588916487e-24,-478.4226294215152,-850.0,360.69362767293836,0.9902263480789132,-6.326613853494788e-25,0.13946966106120995,4.6086609364273776e-24,-278.4226294215151,-380.16253314732137,450.078204982687,0.9901346940249635,0.042696553440567844,0.12864364821943694,0.03551214883588533
