,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,PD.rbs_crank.x,PD.rbs_crank.y,PD.rbs_crank.z,PD.rbs_crank.e0,PD.rbs_crank.e1,PD.rbs_crank.e2,PD.rbs_crank.e3,time
151,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.14162613254506e-16,-74.16939623385205,238.74442544590548,-0.5930102929788639,-0.8051948785840793,5.3228700497944446e-15,7.228839159417456e-15,0.755944931163955
152,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.319210255033503e-16,-71.00010342414181,239.70603939747303,-0.5983308392310214,-0.8012491540492762,5.401148501184801e-15,7.23434131296412e-15,0.7609511889862328
153,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.501390125662159e-16,-67.87788557032265,240.60879593978783,-0.6035264939832918,-0.7973429445305964,5.478713127036795e-15,7.239638320924882e-15,0.7659574468085106
154,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.688257840430148e-16,-64.80330764529822,241.45502964936884,-0.6085995274141183,-0.7934775455741705,5.5555907097282704e-15,7.244787306679986e-15,0.7709637046307886
155,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.879957727634075e-16,-61.77287274837492,242.24803860397228,-0.6135586805991604,-0.7896491281080111,5.631820617481657e-15,7.249735635390789e-15,0.7759699624530664
156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.076591702562926e-16,-58.78666241470056,242.98997583736997,-0.6184065614582291,-0.7858583363983048,5.707429993516819e-15,7.254526449529851e-15,0.7809762202753442
157,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.278302368676487e-16,-55.842237437901986,243.6834925070179,-0.6231496811597544,-0.7821025986918346,5.782455291273502e-15,7.25913710180175e-15,0.785982478097622
158,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.48524347445654e-16,-52.93602825024262,244.3312851890972,-0.6277961002746535,-0.7783778366039616,5.8569350451243176e-15,7.263513545023246e-15,0.7909887359198999
159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.697498810402191e-16,-50.06972230055319,244.93473200529908,-0.6323452818495183,-0.7746866751518028,5.930890872769716e-15,7.267740839054113e-15,0.7959949937421777
160,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.915220574201773e-16,-47.241174476165945,245.49597030491643,-0.6368026782697238,-0.7710268146802108,6.004358306770602e-15,7.271804063514183e-15,0.8010012515644556
161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.138567118379444e-16,-44.44737491713869,246.01713533116856,-0.6411748982892925,-0.7673947809687472,6.077373852798826e-15,7.275663320476043e-15,0.8060075093867335
162,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.367705213397811e-16,-41.6853335913341,246.50016828676993,-0.6454683050480156,-0.7637870561789999,6.149975271876182e-15,7.279280814698558e-15,0.8110137672090113
163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.602730001280403e-16,-38.95662830516639,246.94610978485682,-0.649682032574277,-0.7602060619709047,6.222183407804302e-15,7.282735019590928e-15,0.8160200250312891
164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.843769848813383e-16,-36.26161839208633,247.35621086489775,-0.6538170717138163,-0.7566526526901279,6.294025821161437e-15,7.28607479501597e-15,0.8210262828535669
165,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.090978923061828e-16,-33.59917392017514,247.7319025643208,-0.6578766238742593,-0.7531257185257004,6.365534132989202e-15,7.289308493442303e-15,0.8260325406758449
166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.344529305353972e-16,-30.96783808448748,248.07457146702856,-0.6618642790179019,-0.7496236897116031,6.436741567368877e-15,7.292435960281759e-15,0.8310387984981227
167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.604678867771139e-16,-28.360482352928223,248.38615710921994,-0.6657920360742804,-0.7461373631652458,6.507697587508345e-15,7.29530692874569e-15,0.8360450563204005
168,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.871527390996464e-16,-25.779383002013223,248.66729467793968,-0.6696575498431074,-0.7426700250176904,6.578421128800768e-15,7.29801446983153e-15,0.8410513141426784
169,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.145208581855092e-16,-23.226231971432487,248.91874613856,-0.6734593797129456,-0.7392242312044424,6.648936871992101e-15,7.300639706164012e-15,0.8460575719649562
170,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.425913551059428e-16,-20.69963458442714,249.14157656302464,-0.6772006578007694,-0.7357983889973978,6.719278702168099e-15,7.303181956896865e-15,0.851063829787234
