,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,PD.rbs_crank.x,PD.rbs_crank.y,PD.rbs_crank.z,PD.rbs_crank.e0,PD.rbs_crank.e1,PD.rbs_crank.e2,PD.rbs_crank.e3
251,0.0,0.0,0.0,1.0,-3.4013648785216393e-26,0.0,0.0,0.0,-23.574087653428922,248.8860533561277,-0.04720078329082435,0.9988854425647535,0.0,0.0
252,0.0,0.0,0.0,1.0,1.325336326440396e-25,0.0,0.0,0.0,-39.186344257433,246.90977215901918,-0.07861600560626639,0.9969049929524713,0.0,0.0
253,0.0,0.0,0.0,1.0,2.0369291538936455e-25,0.0,0.0,0.0,-54.64333000498544,243.95514270014286,-0.10995333216977624,0.9939367716589491,0.0,0.0
254,0.0,0.0,0.0,1.0,4.751989639050347e-27,0.0,0.0,0.0,-69.88379857518997,240.03387231926888,-0.1411817127569471,0.9899837197116254,0.0,0.0
255,0.0,0.0,0.0,1.0,4.1238730006937354e-25,0.0,0.0,0.0,-84.84736156865598,235.16149854667654,-0.1722702050912166,0.9850497539459016,0.0,0.0
256,0.0,0.0,0.0,1.0,4.919887147553665e-25,0.0,0.0,0.0,-99.47472778878245,229.35732753768391,-0.20318800550267507,0.9791397631241906,0.0,0.0
257,0.0,0.0,0.0,1.0,7.451573663506638e-25,0.0,0.0,0.0,-113.70793817549982,222.64435757449036,-0.2339044794495018,0.9722596030919461,0.0,0.0
258,0.0,0.0,0.0,1.0,-1.453292134467199e-25,0.0,0.0,0.0,-127.49059546060992,215.04918793843402,-0.2643891918718599,0.9644160909754648,0.0,0.0
259,0.0,0.0,0.0,1.0,1.0993544549845352e-25,0.0,0.0,0.0,-140.7680876347178,206.60191351375528,-0.29461193734812025,0.9556169984272141,0.0,0.0
260,0.0,0.0,0.0,1.0,1.0712901142586253e-24,0.0,0.0,0.0,-153.4878043402983,197.336005540487,-0.3245427700235354,0.9458710439253871,0.0,0.0
261,0.0,0.0,0.0,1.0,1.883311854492603e-25,0.0,0.0,0.0,-165.59934533348866,187.28817898896017,-0.35415203328175765,0.935187884135294,0.0,0.0
262,0.0,0.0,0.0,1.0,4.781283921984228e-25,0.0,0.0,0.0,-177.05472018857833,176.49824708145132,-0.38341038912974307,0.9235781043411705,0.0,0.0
263,0.0,0.0,0.0,1.0,2.9654954423689173e-25,0.0,0.0,0.0,-187.80853845390808,165.00896353740214,-0.41228884726696086,0.911053207957873,0.0,0.0
264,0.0,0.0,0.0,1.0,-5.050109961887933e-25,0.0,0.0,0.0,-197.81818950570533,152.8658531672971,-0.44075879381009475,0.8976256051328535,0.0,0.0
265,0.0,0.0,0.0,1.0,3.521993632658119e-24,0.0,0.0,0.0,-207.04401138720888,140.11703148644762,-0.46879201964477696,0.8833086004497083,0.0,0.0
266,0.0,0.0,0.0,1.0,-2.031939745386029e-24,0.0,0.0,0.0,-215.449447964076,126.81301406344582,-0.4963607483762515,0.8681163797454916,0.0,0.0
267,0.0,0.0,0.0,1.0,-2.2343921357514103e-24,0.0,0.0,0.0,-223.00119377337566,113.0065163587046,-0.5234376638513082,0.8520639960548363,0.0,0.0
268,0.0,0.0,0.0,1.0,-8.150763266948532e-26,0.0,0.0,0.0,-229.66932599220252,98.75224484622213,-0.5499959372241583,0.8351673546948365,0.0,0.0
269,0.0,0.0,0.0,1.0,7.700164040051587e-26,0.0,0.0,0.0,-235.4274230030211,84.10668024620504,-0.5760092535394848,0.8174431975054515,0.0,0.0
270,0.0,0.0,0.0,1.0,4.24561180460532e-24,0.0,0.0,0.0,-240.25266908593454,69.12785372746103,-0.6014518378063224,0.7989090862610391,0.0,0.0
271,0.0,0.0,0.0,1.0,-2.3872656393633302e-24,0.0,0.0,0.0,-244.12594482304135,53.87511696635267,-0.626298480536892,0.7795833852694858,0.0,0.0
272,0.0,0.0,0.0,1.0,-2.249299496218947e-24,0.0,0.0,0.0,-247.03190285667435,38.40890697340152,-0.6505245627251304,0.7594852431761456,0.0,0.0
273,0.0,0.0,0.0,1.0,-2.1379004260495806e-25,0.0,0.0,0.0,-248.9590287013352,22.79050661939243,-0.6741060802401506,0.738634573990624,0.0,0.0
